ID	firstID	ResponseID	Lab	Lab1	Instructions	Condition	Age	English	UK	Education	Sex	SocInfo	Familiarity	Believe	ExpectOPP	ExpectSame	RememberTask	BelieveTask	Strategy
57	47	R_8Bb3Yf0wOzLGhxP	P	2	condition2	3	5	4	0	2	1	0	4	5	2	4	1	2	2
58	48	R_abMVPvGqqQOs1kp	P	2	condition2	3	5	4	0	3	1	0	4	4	5	5	1	2	2
59	49	R_5bSwCkWsRDOJ5Bj	P	2	condition2	3	2	4	0	1	1	0	4	2	3	3	2	2	2
60	50	R_1HYIbgdhyn1n6jb	P	2	condition2	3	5	4	0	6	1	0	2	4	3	3	3	3	1
61		R_39ruR0uMO6pMrtj	P	2	condition2	3	2	4	0	2	2	0	2	3	3	3	1	2	2
62		R_77e98FMgnmd2LAx	P	2	condition2	3	2	4	0	1	2	0	1	3	3	3	3	2	2
63		R_blQuPaYszW5DyxT	P	2	condition2	3	5	4	0	1	2	0	3	3	3	3	2	2	6
64		R_7P59zA8YibzoT7T	P	2	condition2	3	5	4	0	4	2	0	2	3	2	3	3	4	2
65		R_9T9XpUEnGUzZlMp	P	2	condition2	3	2	4	0	2	2	0	1	4	3	3	1	2	1
66		R_6h9qTx2WE14bs0t	P	2	condition2	3	2	4	0	2	2	0	1	1	3	3	1	2	2
67		R_08PJrDiAzOLgnVX	P	2	condition2	3	5	4	0	1	2	0	1	3	3	3	3	4	2
68		R_8zREVAPoqXnFuYd	P	2	condition2	3	5	4	0	2	2	0	2	3	2	3	2	2	2
69	32	R_56ZUADRkdmlezu5	P	2	condition2	3	2	4	0	4	2	0	2	4	2	2	2	3	2
70	35	R_bOXi28qZqqBEokJ	P	2	condition2	3	2	4	0	1	2	0	2	4	2	3	1	1	2
71	36	R_2nROKkzK9mQp40J	P	2	condition2	3	5	5	0	3	2	0	2	3	3	3	2	3	2
72	45	R_ehD0egTKTL4KOEd	P	2	condition2	3	2	4	0	1	2	0	2	4	4	4	2	2	1
73	53	R_8w5fN3dmzjdLtJz	P	2	condition2	3	2	4	0	2	2	0	4	2	4	5	1	2	2
74	54	R_d7uoqPj2G7AiFhz	P	2	condition2	3	2	4	0	5	2	0	1	4	4	4	1	1	1
75	57	R_5nhIYsK3o5efnzn	P	2	condition2	3	5	4	0	2	2	0		2	3	3	2	2	1
76	58	R_9Bld7hMfzYASdMh	P	2	condition2	3	2	4	0	2	2	0	3	2	4	4	1	3	2
77	59	R_bd9HDSmWi6PiuTb	P	2	condition2	3	2	4	0	5	2	0	1	4	4	4	2	2	2
78	60	R_6A7wxuzF5AcRT8h	P	2	condition2	3	2	4	0	3	2	0	1	3	3	3	3	3	2
79	61	R_d6ExBfD7CsTeXIx	P	2	condition2	3	3	4	0	3	2	0	5	3	3	4	1	1	2
80	62	R_4UUv06nxJ4aiRW5	P	2	condition2	3	2	4	0	3	2	0	4	2	4	4	1	2	2
81		R_eX7fSk4e60WbrRH	P	2	control	2	5	4	0	3	1	0	1	3	3	4	na	na	1
82		R_6L0n7pSRzglEBSZ	P	2	control	2	2	4	0	3	1	0	1	3	3	3	na	na	2
83		R_3gsWWE6nO8SSEbX	P	2	control	2	5	4	0	1	1	0	5	4	5	4	na	na	2
84		R_1ZdFkF2mQoG4TVb	P	2	control	2	2	4	0	5	1	0	2	3	4	5	na	na	2
85		R_22Vsw0Dyah9cxtr	P	2	control	2	2	4	0	1	1	0	1	1	3	3	na	na	1
86		R_bw1iuI6KhaNBzQF	P	2	control	2	2	4	0	1	1	0	5	4	3	3	na	na	2
87		R_1RAvREsvuCksiu9	P	2	control	2	2	4	0	5	1	0	2	3	3	3	na	na	2
88		R_9zdqi5xTrqGOccd	P	2	control	2	2	4	0	5	1	0	1	3	3	3	na	na	2
89		R_1S42Dy2TXEUyB3T	P	2	control	2	2	4	0	6	1	0	1	4	2	5	na	na	2
90		R_bf4OvieMyCSa09T	P	2	control	2	2	4	0	2	1	0	1	4	4	4	na	na	1
91		R_3dCaGK5o08eYegt	P	2	control	2	3	4	0	1	1	0	0	1	3	3	na	na	2
92		R_5hI9vcb9Qy0yKuF	P	2	control	2	2	4	0	1	1	0	1	3	2	3	na	na	2
93		R_0707D3ob0Pg2EQd	P	2	control	2	3	4	0	1	1	0	4	3	3	3	na	na	2
94		R_25DYgAWb1vivowJ	P	2	control	2	2	4	0	2	1	0	5	4	4	4	na	na	2
95		R_doFs8qwdg4MUrI1	P	2	control	2	5	5	0	2	1	0	4	5	4	3	na	na	1
96		R_0cumaEfedQI373n	P	2	control	2	2	4	0	3	1	0	1	0	1	3	na	na	1
97		R_5mZeq5Te2evr0ep	P	2	control	2	2	4	0	3	1	0	4	4	4	4	na	na	2
98		R_2sDlAt9EQJnFtT7	P	2	control	2	5	4	0	2	1	0	1	3	3	4	na	na	2
99		R_6na6CL7aZ7z67sh	P	2	control	2	3	4	0	2	1	0	2	4	4	3	na	na	2
100		R_7OGs4FdnFnXNxbv	P	2	control	2	2	4	0	3	1	0	5	5	5	3	na	na	2
101		R_esam82WBfpMtbs9	P	2	control	2	2	5	0	4	2	0	2	4	2	3	na	na	2
102		R_doPvLpYGKCiZ4d7	P	2	control	2	5	5	0	2	2	0	5	3	4	3	na	na	6
103		R_9EW6725I9UD98Ut	P	2	control	2	2	4	0	5	2	0	1	3	3	3	na	na	2
104		R_equaQtehrcNa5zD	P	2	control	2	2	4	0	4	2	0	3	2	1	1	na	na	2
105		R_a3mn9d1OXIwoAh7	P	2	control	2	2	4	0	5	2	0	5	4	3	3	na	na	2
106		R_3PqXwapggv2bS1T	P	2	control	2	5	4	0	4	2	0	5	4	2	2	na	na	2
